Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-4.759950161,-3.534000158,7.92195034
-4.798050404,-3.496050119,7.933050156
-4.798050404,-3.534000158,7.909050465
-4.722000122,-3.496050119,7.879950523
-4.722000122,-3.496050119,7.90500021
-4.798050404,-3.534000158,7.918950558
-4.722000122,-3.496050119,7.918050289
-4.798050404,-3.496050119,7.842000484
-4.837050438,-3.496050119,7.842000484
-4.798050404,-3.534000158,7.879050255
-4.837050438,-3.457950115,7.858950138
-4.798050404,-3.571950197,7.897050381
-4.798050404,-3.534000158,7.890000343
-4.683000088,-3.534000158,7.884000301
-4.837050438,-3.496050119,7.846950531
-4.798050404,-3.457950115,7.857000351
-4.722000122,-3.496050119,7.831950188
-4.798050404,-3.381000042,7.873950481
-4.759950161,-3.496050119,7.891950607
-4.759950161,-3.496050119,7.846950531
-4.722000122,-3.457950115,7.875000477
-4.722000122,-3.496050119,7.833000183
-4.722000122,-3.457950115,7.834950447
-4.798050404,-3.381000042,7.902000427
-4.759950161,-3.496050119,7.903050423
-4.683000088,-3.496050119,7.924050331
-4.798050404,-3.534000158,7.923000336
-4.683000088,-3.418950081,7.86495018
-4.722000122,-3.496050119,7.924050331
-4.759950161,-3.496050119,7.908000469
-4.722000122,-3.496050119,7.911000252
-4.837050438,-3.496050119,7.891950607
-4.759950161,-3.534000158,7.930950165
-4.759950161,-3.457950115,7.927050591
-4.683000088,-3.534000158,7.926000595
-4.645050049,-3.457950115,7.869000435
-4.683000088,-3.496050119,7.933950424
-4.722000122,-3.496050119,7.852050304
-4.837050438,-3.534000158,7.891050339
-4.759950161,-3.534000158,7.852050304
-4.837050438,-3.534000158,7.848000526
-4.759950161,-3.496050119,7.846950531
-4.837050438,-3.496050119,7.92195034
-4.837050438,-3.534000158,7.89495039
-4.798050404,-3.496050119,7.855950356
-4.722000122,-3.534000158,7.84005022
-4.798050404,-3.534000158,7.879950523
-4.645050049,-3.496050119,7.879950523
-4.683000088,-3.496050119,7.923000336
-4.798050404,-3.534000158,7.873950481
-4.759950161,-3.610950232,7.828950405
-4.722000122,-3.496050119,7.89495039
-4.875,-3.418950081,7.915950298
-4.759950161,-3.457950115,7.873950481
-4.759950161,-3.496050119,7.830000401
-4.875,-3.381000042,7.891950607
-4.759950161,-3.457950115,7.87005043
-4.722000122,-3.496050119,7.867950439
-4.645050049,-3.496050119,7.875000477
-4.722000122,-3.496050119,7.833000183
-4.759950161,-3.534000158,7.894050598
-4.722000122,-3.610950232,7.855950356
-4.722000122,-3.496050119,7.86000061
-4.722000122,-3.496050119,7.840950489
-4.759950161,-3.496050119,7.846050262
-4.759950161,-3.418950081,7.840950489
-4.837050438,-3.457950115,7.846050262
-4.875,-3.457950115,7.881000519
-4.798050404,-3.534000158,7.888950348
-4.759950161,-3.610950232,7.903950214
-4.722000122,-3.457950115,7.870950222
-4.875,-3.534000158,7.914000511
-4.798050404,-3.496050119,7.912050247
-4.798050404,-3.381000042,7.872000217
-4.759950161,-3.534000158,7.870950222
-4.722000122,-3.457950115,7.852050304
-4.759950161,-3.496050119,7.875000477
-4.645050049,-3.496050119,7.909050465
-4.798050404,-3.534000158,7.894050598
-4.722000122,-3.457950115,7.861050606
-4.683000088,-3.496050119,7.875000477
-4.798050404,-3.496050119,7.876950264
-4.606950283,-3.496050119,7.876950264
-4.798050404,-3.534000158,7.873950481
-4.759950161,-3.457950115,7.921050549
-4.759950161,-3.457950115,7.879050255
-4.722000122,-3.496050119,7.902000427
-4.683000088,-3.496050119,7.918050289
-4.759950161,-3.457950115,7.920000553
-4.683000088,-3.534000158,7.899000168
-4.798050404,-3.496050119,7.936050415
-4.722000122,-3.534000158,7.933050156
-4.722000122,-3.534000158,7.851000309
-4.722000122,-3.496050119,7.869000435
-4.759950161,-3.534000158,7.903950214
-4.759950161,-3.496050119,7.864050388
-4.759950161,-3.496050119,7.867950439
-4.722000122,-3.571950197,7.848000526
-4.722000122,-3.534000158,7.884000301
-4.683000088,-3.457950115,7.9249506
-4.759950161,-3.381000042,7.911000252
-4.683000088,-3.457950115,7.852050304
-4.722000122,-3.418950081,7.891050339
-4.798050404,-3.534000158,7.887000561
-4.759950161,-3.496050119,7.848000526
-4.759950161,-3.534000158,7.84305048
-4.759950161,-3.457950115,7.84005022
-4.683000088,-3.610950232,7.882950306
-4.683000088,-3.457950115,7.885050297
-4.798050404,-3.496050119,7.864050388
-4.683000088,-3.381000042,7.885050297
-4.722000122,-3.496050119,7.906950474
-4.722000122,-3.496050119,7.852950573
-4.683000088,-3.496050119,7.891950607
-4.645050049,-3.418950081,7.921050549
-4.722000122,-3.496050119,7.86495018
-4.798050404,-3.381000042,7.90500021
-4.798050404,-3.457950115,7.876950264
-4.606950283,-3.457950115,7.876950264
-4.722000122,-3.343050241,7.915950298
-4.759950161,-3.496050119,7.942950249
-4.798050404,-3.381000042,7.887000561
-4.722000122,-3.457950115,7.947000504
-4.759950161,-3.457950115,7.926000595
-4.798050404,-3.496050119,7.942050457
-4.722000122,-3.457950115,7.939950466
-4.759950161,-3.534000158,7.864050388
-4.722000122,-3.457950115,7.900950432
-4.837050438,-3.534000158,7.855050564
-4.759950161,-3.418950081,7.863000393
-4.722000122,-3.457950115,7.92195034
-4.798050404,-3.381000042,7.846050262
-4.759950161,-3.457950115,7.888950348
-4.759950161,-3.457950115,7.870950222
-4.798050404,-3.457950115,7.87005043
-4.759950161,-3.534000158,7.927050591
-4.722000122,-3.457950115,7.869000435
-4.798050404,-3.496050119,7.867950439
-4.759950161,-3.457950115,7.927050591
-4.759950161,-3.496050119,7.927950382
-4.759950161,-3.496050119,7.927950382
-4.722000122,-3.496050119,7.927950382
-4.759950161,-3.457950115,7.891050339
-4.798050404,-3.457950115,7.855950356
-4.759950161,-3.496050119,7.873950481
-4.645050049,-3.418950081,7.890000343
-4.759950161,-3.496050119,7.846950531
-4.645050049,-3.457950115,7.885050297
-4.722000122,-3.457950115,7.872000217
-4.722000122,-3.457950115,7.912050247
-4.759950161,-3.457950115,7.867950439
-4.798050404,-3.534000158,7.927950382
-4.683000088,-3.571950197,7.912050247
-4.722000122,-3.457950115,7.891050339
-4.722000122,-3.457950115,7.890000343
-4.722000122,-3.418950081,7.930950165
-4.683000088,-3.496050119,7.930950165
-4.722000122,-3.457950115,7.893000603
-4.722000122,-3.457950115,7.894050598
-4.722000122,-3.534000158,7.933050156
-4.759950161,-3.496050119,7.930950165
-4.759950161,-3.534000158,7.911000252
-4.798050404,-3.381000042,7.930950165
-4.722000122,-3.457950115,7.930050373
-4.683000088,-3.457950115,7.858950138
-4.798050404,-3.457950115,7.894050598
-4.875,-3.418950081,7.933950424
-4.722000122,-3.496050119,7.912950516
-4.722000122,-3.457950115,7.908000469
-4.722000122,-3.457950115,7.912050247
-4.683000088,-3.457950115,7.870950222
-4.837050438,-3.457950115,7.870950222
-4.759950161,-3.496050119,7.891050339
-4.722000122,-3.496050119,7.911000252
-4.759950161,-3.534000158,7.890000343
-4.759950161,-3.381000042,7.891050339
-4.722000122,-3.418950081,7.893000603
-4.759950161,-3.496050119,7.848000526
-4.759950161,-3.418950081,7.869000435
-4.722000122,-3.457950115,7.924050331
-4.759950161,-3.457950115,7.912050247
-4.645050049,-3.496050119,7.851000309
-4.759950161,-3.418950081,7.927950382
-4.759950161,-3.534000158,7.930050373
-4.683000088,-3.457950115,7.852950573
-4.759950161,-3.496050119,7.855050564
-4.722000122,-3.457950115,7.855050564
-4.759950161,-3.496050119,7.909950256
-4.645050049,-3.496050119,7.93200016
